area_se,texture_worst,concave points_worst,symmetry_worst
23.56,19.26,0.1288,0.2977
14.67,20.49,0.07283,0.3184
15.7,15.66,0.06227,0.245
14.16,22.81,0.05013,0.1987
8.205,21.96,0.02564,0.3105
19.87,20.7,0.06548,0.2747
20.2,31.82,0.1282,0.2871
28.47,25.72,0.03715,0.2433
14.55,23.19,0.08586,0.2346
17.47,21.33,0.06296,0.2785
23.47,22.47,0.06316,0.3306
32.96,22.25,0.01111,0.2439
8.322,15.4,0.04419,0.322
34.62,17.45,0.02579,0.3557
18.39,27.04,0.02778,0.2972
23.52,19.23,0.05087,0.3282
14.2,31.56,0.06517,0.2878
18.15,23.84,0.06961,0.24
17.67,22.65,0.175,0.4228
18.33,19.76,0.05882,0.2383
25.44,15.67,0.04786,0.2254
19.68,23.21,0.0866,0.2618
32.65,12.49,0.07407,0.271
20.35,24.82,0.07926,0.2779
24.62,32.16,0.06127,0.2762
12.96,23.19,0.1708,0.3527
16.16,24.9,0.07632,0.3379
20.95,30.5,0.1205,0.2972
42.76,18.24,0.1397,0.3151
33.76,29.11,0.06946,0.2522
36.35,22.35,0.1001,0.2027
25.22,25.94,0.07911,0.2678
24.44,20.92,0.05882,0.2227
20.05,26.29,0.02381,0.1934
15.75,17.16,0.08449,0.2772
9.833,19.54,0.0,0.2932
14.68,32.84,0.07431,0.2694
11.77,26.83,0.09749,0.2622
23.13,23.31,0.03203,0.2826
20.62,29.26,0.1218,0.2806
9.227,27.49,0.08442,0.2983
16.41,29.15,0.08278,0.2829
22.87,21.47,0.05334,0.2533
20.48,25.47,0.1105,0.2226
29.25,23.73,0.1505,0.2398
19.91,22.75,0.06136,0.2383
8.966,19.62,0.105,0.2926
24.79,26.15,0.07247,0.2438
16.94,17.07,0.03846,0.1652
10.5,15.97,0.08958,0.3016
24.19,15.98,0.1221,0.2889
14.66,22.75,0.08978,0.2048
17.91,23.58,0.05104,0.2364
39.84,18.33,0.1423,0.259
15.24,17.81,0.08187,0.3469
27.94,19.25,0.1374,0.2723
34.37,25.48,0.06968,0.1712
12.67,22.02,0.08476,0.2676
26.33,15.77,0.08611,0.2102
12.26,14.1,0.0,0.3105
21.38,26.76,0.06402,0.2584
16.64,21.82,0.1012,0.3549
17.74,20.72,0.03413,0.23
25.03,16.51,0.06042,0.2727
39.43,25.47,0.08405,0.2852
21.2,19.85,0.1599,0.2691
21.47,22.46,0.06019,0.235
34.78,24.11,0.06296,0.3196
10.21,29.72,0.07879,0.3322
49.85,19.49,0.1571,0.3108
15.48,16.3,0.05506,0.2859
22.79,20.5,0.09722,0.3849
16.51,25.22,0.08211,0.3113
46.61,28.07,0.08436,0.2527
13.25,18.41,0.07025,0.2514
18.54,18.2,0.03953,0.2738
38.34,26.21,0.07909,0.3168
21.55,28.68,0.08194,0.2268
16.64,25.82,0.05754,0.2646
11.48,12.02,0.04603,0.209
24.28,23.0,0.08485,0.2404
17.43,15.64,0.09391,0.2827
19.08,16.82,0.04306,0.1902
21.98,19.2,0.0,0.271
11.36,17.04,0.0,0.2592
27.48,24.39,0.0991,0.2614
14.34,29.02,0.009259,0.2295
21.79,16.15,0.0399,0.1783
22.77,17.7,0.06296,0.1811
26.43,21.18,0.01042,0.2933
17.86,21.39,0.1099,0.2572
14.47,26.48,0.04306,0.32
18.32,19.59,0.04815,0.2482
53.65,23.5,0.04773,0.2179
21.69,20.83,0.0,0.1909
15.75,22.0,0.08235,0.3024
27.24,28.36,0.108,0.2668
30.29,24.64,0.1015,0.3014
12.33,23.22,0.05588,0.2989
15.09,29.16,0.1126,0.4128
20.0,15.92,0.1035,0.232
17.12,24.99,0.06913,0.2535
21.46,27.1,0.1138,0.3397
22.79,24.47,0.03571,0.2868
17.4,16.35,0.08056,0.238
21.03,17.13,0.0909,0.3065
15.05,22.84,0.05575,0.3055
24.68,23.6,0.09678,0.2506
48.29,16.9,0.1087,0.3062
11.86,19.8,0.04464,0.2615
19.88,19.31,0.1379,0.2954
18.51,31.31,0.118,0.2826
8.605,33.75,0.02083,0.2849
15.46,41.78,0.03002,0.2911
12.64,19.16,0.07222,0.2757
22.07,30.28,0.07963,0.2226
29.96,40.54,0.08219,0.189
27.19,19.05,0.09222,0.253
9.006,20.37,0.04052,0.2901
16.39,27.96,0.1218,0.3308
39.93,26.34,0.06106,0.2663
23.22,29.46,0.06736,0.2883
13.56,27.82,0.0497,0.2767
16.35,17.7,0.1561,0.2639
16.64,35.19,0.06136,0.3409
18.62,21.19,0.09608,0.2664
26.99,22.46,0.06544,0.274
27.1,22.94,0.07926,0.294
26.76,30.04,0.06189,0.2446
18.24,23.64,0.0578,0.3604
20.74,25.21,0.086,0.2605
10.77,20.65,0.03333,0.2458
13.17,16.18,0.0875,0.2733
16.39,20.88,0.05159,0.2841
48.84,18.99,0.08946,0.222
17.09,18.99,0.01111,0.2758
22.22,26.1,0.05185,0.2335
