texture_se,texture_mean
0.7886,14.36
0.7477,15.71
0.9768,12.44
2.342,18.42
0.9567,16.84
0.7294,14.63
1.353,22.3
1.21,21.6
0.9234,16.34
0.6329,18.24
0.9591,18.75
1.214,19.31
0.5796,11.79
1.441,14.88
2.067,20.98
2.265,13.86
2.011,21.01
0.9429,19.04
1.194,17.33
0.8732,16.49
0.8522,14.64
1.025,16.52
1.014,10.94
1.095,18.0
2.174,20.97
1.016,15.86
1.255,15.65
1.502,21.8
0.7372,15.24
1.111,24.02
1.153,14.76
1.373,18.3
1.511,17.84
2.043,19.94
0.5391,12.84
1.508,13.43
1.571,20.52
1.222,19.4
1.534,19.29
1.657,18.33
0.8944,18.54
0.9861,21.26
1.424,16.99
1.803,20.76
1.49,19.65
1.86,20.19
0.5864,15.83
0.9227,21.53
0.9789,15.76
0.4607,10.82
0.857,10.89
1.14,16.39
0.8561,17.21
1.068,16.39
0.8163,13.29
0.8155,13.93
2.508,16.67
0.9938,15.39
1.343,13.39
0.496,11.97
1.908,17.31
0.7712,15.92
1.239,14.97
0.6538,14.65
1.909,18.77
0.7394,15.18
0.7574,17.91
1.322,20.78
1.962,20.7
2.664,15.34
0.7815,13.08
0.7927,15.34
0.9823,17.94
2.06,19.46
0.7285,12.74
0.7614,12.96
1.693,20.18
1.656,22.22
1.065,19.76
0.4064,9.71
1.217,16.95
0.6656,12.39
1.805,14.71
1.925,15.15
0.7873,14.45
2.261,18.06
1.142,22.22
0.9899,13.06
1.108,14.92
1.268,15.11
0.7655,17.19
1.926,17.39
0.8355,15.9
1.748,21.41
4.885,18.22
0.9086,16.33
1.326,19.56
1.044,18.6
1.342,17.27
0.9223,22.54
0.3628,12.91
0.8652,18.94
1.563,18.35
1.922,17.48
0.4336,13.16
0.4981,13.9
1.217,17.53
0.8907,17.02
0.8121,13.47
0.9027,15.46
0.4966,15.51
1.066,23.97
0.8927,27.08
1.647,33.81
0.8301,15.91
1.503,21.25
2.324,27.85
0.6612,15.6
0.6745,15.04
1.642,18.19
1.057,23.77
2.612,19.86
1.601,17.43
0.4402,14.11
1.493,25.22
1.038,14.93
0.8429,18.45
1.197,18.95
1.916,21.84
1.219,16.21
1.489,20.39
0.7198,16.82
0.5293,13.04
1.409,15.67
2.293,17.36
1.28,14.16
1.166,17.84
0.9195,15.18
1.268,14.02
1.389,15.7
1.35,18.4
1.39,20.76
0.469,13.12
1.905,19.96
1.974,18.89
1.77,19.73
0.948,19.1
0.7636,16.02
1.238,17.46
0.6931,13.78
0.6946,13.27
1.027,12.35
0.669,18.17
1.143,23.09
1.04,19.89
1.563,18.61
1.059,18.16
1.786,24.49
0.5735,15.82
1.305,14.4
0.6864,12.71
0.8285,13.84
1.43,19.11
0.9115,15.69
0.6594,13.37
0.3602,10.72
2.777,18.6
0.7151,16.85
0.5996,14.08
1.911,18.9
2.2,17.0
1.471,16.18
1.042,13.32
0.8073,15.21
0.9505,17.3
1.081,12.88
0.9097,17.93
0.5664,19.35
1.966,19.86
0.9961,14.78
1.532,19.02
0.6412,14.23
2.015,17.53
0.7706,16.54
0.9429,16.84
0.8225,14.96
0.7395,15.45
2.509,14.71
1.152,18.9
0.3981,14.74
0.7615,16.03
1.05,14.96
0.6724,17.07
0.8092,14.07
1.478,19.07
1.51,18.59
1.363,16.21
1.2,15.49
1.247,18.32
0.9527,18.07
1.539,21.57
1.285,18.84
1.439,18.29
0.6124,16.95
0.7786,18.02
0.4125,13.21
0.5066,16.07
0.489,16.07
1.231,20.22
1.15,28.21
0.5417,15.15
0.9858,12.96
1.031,14.93
1.434,22.72
0.873,17.48
0.5308,13.72
0.8309,14.09
0.6218,16.16
1.067,15.5
0.5477,12.22
2.079,16.84
1.652,17.72
1.685,17.18
1.332,18.89
1.265,17.46
0.6881,14.83
1.14,17.26
1.045,10.91
1.299,18.29
0.905,16.17
0.9078,14.95
1.743,18.59
0.6372,14.86
1.798,21.37
1.781,17.92
1.555,17.57
1.387,16.83
1.182,21.68
1.336,22.11
1.203,21.17
2.878,21.7
0.6457,12.17
1.678,21.41
1.44,19.04
1.511,13.98
0.7339,16.02
0.895,19.13
1.747,19.12
1.341,21.28
1.127,14.98
1.621,21.98
0.9671,16.62
0.8836,17.67
1.46,17.68
0.6683,16.94
0.7693,19.54
1.046,15.98
1.678,19.6
0.6549,15.66
1.376,17.2
0.4833,15.79
2.542,18.32
1.204,24.89
0.6221,17.66
1.354,19.34
1.554,21.54
1.705,28.23
0.7213,13.98
0.6674,17.15
1.924,30.72
2.426,29.29
1.35,25.25
1.232,25.13
1.687,28.2
0.9112,26.99
0.7656,18.36
0.685,18.22
0.8135,20.13
0.7884,20.74
1.312,18.1
1.74,18.18
1.35,18.49
2.643,28.14
0.4334,14.93
3.647,29.97
0.538,15.62
0.4875,15.73
1.018,20.53
0.5762,16.62
1.166,14.59
1.19,18.03
0.9264,19.24
0.5733,14.06
0.9462,17.64
0.3871,11.28
1.207,16.41
1.006,16.85
1.154,16.17
1.139,22.44
1.046,13.23
1.486,12.83
1.473,20.54
1.636,20.21
0.6332,18.17
0.781,17.31
0.8423,16.74
1.095,16.32
1.093,12.87
1.39,13.14
0.7959,20.04
1.03,17.12
0.4706,15.7
0.6417,14.69
0.6232,14.7
0.6237,13.66
1.01,18.61
1.169,18.22
1.003,16.7
1.13,13.9
1.083,19.83
1.249,18.68
1.216,15.68
0.6793,13.1
0.6068,18.75
0.4957,12.27
2.635,13.17
0.504,13.44
1.907,17.56
0.8745,20.02
0.4801,16.33
1.583,17.62
1.978,24.44
1.462,25.49
1.479,25.44
1.768,14.44
1.079,24.99
1.385,25.42
1.597,28.06
1.047,20.7
1.336,23.23
0.967,16.35
1.023,16.58
1.363,19.34
1.918,24.21
1.304,21.48
1.467,22.44
1.367,29.43
1.879,21.94
1.36,28.92
2.239,27.61
2.09,19.59
2.927,27.88
1.108,22.68
2.904,23.93
1.492,27.15
3.896,29.37
1.428,24.54
